"id","post","lang","age_group"
2601,이거랑 비슷한 게임있는데 그거 돈도 잘 벌어지고 짱 좋음..! 개꿀잼😻,kr,1
2695,용혜인!제발~^비례의원없애야지^돈주고국개의원되는건문제가있다!기본소득당이란게아무리생각해봐도^기본소득이란게대체뭐야!?정당하게일해서돈받고먹고살아야지!뭔국가에서기본적으로기본적지원금을받는게당연하냐!?공산당이냐!?이건복지가아니고^공산국가에서배급주는것으로국민들삶을담보할려는거아니냐고!?,kr,1
2697,"용혜인에게 권력을 준 순간 자기의 권한과 권리가 의무인것인양, 아주 난하무인격으로 인간으로써 서로간의 대화에 싫어요, 안해요란 단어가 맞는디 모르겠네요.. 어린것은 이해 한다 하지만 지가 무슨 대단한 인물인양 어른들 앞에서 위아래도 없이 말 좀 가려 가면서 했으면 좋겠구만...",kr,1
2699,용혜인 의원이 대통령을 해야함...;;;;,kr,1
2701,고함지르고 떽떽 거리는 언행 그런 스탠스는 신뢰 안갑니다 조곤조곤히 말하는 연습좀 그게더 멋진겁니다,kr,1
2703,용혜인 나오는 곳마다 왜이리 다 시끄러운 일만 있는거야,kr,1
2704,용해인 저런걸 누가 국회의원 시켰냐,kr,1
2705,"재는 저렇게 정치하는게
잘하는 줄 아는가봐",kr,1
2707,이재명대표님이 대통령되면 채해병특검해서 임종득도 철저히 수사해서 엄벌해야함!,kr,1
2709,용혜인 의원님 화이팅 힘내시고 좀비들 때려잡읍시다,kr,1
2713,임종득의원님화이팅,kr,1
2716,"국힘들 말 좀 조심해라
수준을 높이야지...",kr,1
2717,국짐은 용혜인 반만이라도 일좀해라ㅋㅋ,kr,1
2719,저런게 나라조진다 계집애 저런걸 국회의원 이라니~~,kr,1
2721,"국회싸우러 나왓네요 경찰들은 뭐하는지 잡아가지않고
의원이 뭐가대단한지 모르겟네 소리나지르고",kr,1
2722,"나이 어리다고 말을 함부로 하면
안됩니다 국짐 의원님",kr,1
2723,국회의원 이라고 생각안된다 나이에맞지않게한 힌머리는 나이들어보일려고 한건가 그러면 위엄이 생기나,kr,1
2727,난 이정도면 이분이 대통령이면 좋을듯 이정도면 나라위험 없을 듯🥰,kr,1
2728,미친 용혜인 저런게 국회의원이라니 비례대표라 그런가,kr,1
2729,너무건방지고 예의가없는것이 정말싫어요,kr,1
2732,그래도 소리지르면서까지는..;;,kr,1
2735,나이도어린게,kr,1
2737,"민주당답다
소리지르고
민주당이다",kr,1
2739,임종득이 정신나갔네.,kr,1
2740,국짐당이그렇지 ㅡㅡ 정신나간소리나하고 ㅡㅡ,kr,1
2744,여자분 욕하는 사람들은 정신이 나간건가,kr,1
2750,용혜인 의원님 응원합니다 화이팅!!!🤗👍,kr,1
