,post,lang,age_group,proximal,medial,distal
0,なんだこれ！！ワクワクするな！！,jp,2,1,0,0
1,すごい！これまでに色んな自動車博物館的なところへ行きましたが、ここのラインナップは凄すぎる😲,jp,2,1,0,0
2,ここの車エンジンも乗ってるの？それとも外見だけのレプリカ的な？,jp,2,0,1,0
3,これは夢やなー,jp,2,1,0,0
4,これは夢やなー,jp,2,1,0,0
5,これ実写版スプラトゥーンしてくる環境活動家(ダメな奴)が来たら終わるな,jp,2,1,0,0
6,これは夢やなー,jp,2,1,0,0
7,🍀目の保養になるね🍀クルマにはそれぞれ表情があると再認識でした🍀🍀🍀,jp,2,0,1,0
8,これは夢やなー,jp,2,1,0,0
9,これ毎日遅刻するやつだ,jp,2,1,0,0
10,もはやこれ用の免許が必要なレベルでむずい,jp,2,1,0,0
11,これがダブルクラッチってやつかぁ,jp,2,1,0,0
12,これでアクセルの踏み間違え絶対無くなる,jp,2,1,0,0
13,これなら、踏み間違いで爆走するなんて事故は起きないね,jp,2,1,0,0
14,難しいけど、乗れない事は無さそう。無料ならこれで良いや。,jp,2,1,0,0
15,これならアクセル踏み間違いはないな。元よりアクセルは手元だけど。,jp,2,1,0,0
16,フロアマットに『FORD』の文字。これ販売当時の純正品？,jp,2,1,0,0
17,これ日本で運転するなら、何免許なんかな？ただのATでいけんのかな？,jp,2,1,0,0
18,これからはちょっと雨降っただけで部活中止になるだろうね。,jp,2,1,0,0
19,これ事故があったから今日雷なったからすぐ部活終わっちゃった,jp,2,1,0,0
20,これって偶然すぎない？ww,jp,2,1,0,0
21,これは心配停止😅,jp,2,1,0,0
22,あれか 奈良やと高い建物無いから 落雷しやすいんかな？,jp,2,0,0,1
23,え！？これいった？いったいった！？,jp,2,1,0,0
24,教師はなんか処分くらうのかなこれ,jp,2,1,0,0
25,これがホントのイナズマイレブン,jp,2,1,0,0
26,運が悪かったとしか言えない 強いて言うなら雷雨の際に部活を中断しなかった判断が悪い 悪かったとしても雷がそこに落ちる確率なんて滅多にないだろうがやらないという判断それを招いた,jp,2,0,1,0
27,これで教員責められるとか訳分からんすぎる。もう部活なくそーぜ。教員の本文じゃないし、余計なことして訴えられたら敵わん🙄外部でやってもらおうよ,jp,2,1,0,0
28,外走ってて退避できる場所ないとビビるんよな〜これ,jp,2,1,0,0
29,"兵庫県だけではないと思いますよ😁
それをメディアが取りあげる事に違和感を感じます",jp,2,0,1,0
30,あれ、他の自治体はとりあげないの？(笑),jp,2,0,0,1
31,"やる気のある人だけ入ってくれればそれで良い。
知事のパワハラに耐えれなきゃ住民からのモラハラとかには耐えれません‼️",jp,2,0,1,0
32,他の自治体の辞退率知りたいのと、これまでの辞退率の推移も知りたい。,jp,2,1,0,0
33,他の企業もそれ以上辞退はあるでしょう。,jp,2,0,1,0
34,これ偏向報道？,jp,2,1,0,0
35,一緒に頑張っていこうとしてる職員が、それ以上にいる事を、忘れてない,jp,2,0,1,0
36,こんなん大学受験と同じやろ。優秀な人材はいくつも受かって辞退する。これから半年か1年間でどれだけ退職、離職するかが問題やろ。,jp,2,1,0,0
37,もーええわ。兵庫が良くなったら、それが答え,jp,2,0,1,0
38,もーええわ。兵庫が良くなったら、それが答え,jp,2,0,1,0
39,"斎藤なら混乱と分断しか無い
そしてこれからも続く
こんな奴が知事でいい訳ない",jp,2,1,0,0
40,比較の問題ではなく、この数字は新社会人にとってはとてつもなく大きな問題で、いきなりこんな数字を見たらもう何を信じたら良いのかわからなくなってしまいます😱これが最悪ですね⤵️斉藤元彦は辞職して若い人に希望を与えてください！,jp,2,1,0,0
41,"普通。新社会人になって、パワハラ知事と騒がれてるトップとそれに相反するウルトラポンコツな議員の間に挟まれて働きたいか？
全然楽しくなさそう🤣",jp,2,0,1,0
42,それ以外はないやろ？,jp,2,0,1,0
43,県庁採用になるくらいの優秀な方ならスベリ止めでしょうから、魑魅魍魎が跳梁跋扈する兵庫県庁には行かないですよね。それにしても悪意ある報道、質問ですね、しょうもな！,jp,2,0,1,0
44,第三者委員会での調査で７つの事項で６つは事実ではないと認められ パワハラについては職務上の叱責がパワハラと言うなら厳粛に受け止めると言っただけなのにそれを鬼の首を取ったのか如く偏向報道するのは悪意の塊としか言えませんね😏その程度がパワハラなら日本中の企業の経営者は全員辞めざるを得ませんよ‼️🤣🤣🤣,jp,2,0,1,0
45,第三者委員会での調査で７つの事項で６つは事実ではないと認められ パワハラについては職務上の叱責がパワハラと言うなら厳粛に受け止めると言っただけなのにそれを鬼の首を取ったのか如く偏向報道するのは悪意の塊としか言えませんね😏その程度がパワハラなら日本中の企業の経営者は全員辞めざるを得ませんよ‼️🤣🤣🤣,jp,2,0,1,0
46,まだやってんのかこれ。。。叩くなら石破とかもっと居るやろ,jp,2,1,0,0
47,"パワハラで辞退か分からんやろ
これだからメディアの印象操作って言われんねん",jp,2,1,0,0
48,今のこたちメンタルなさすぎ笑　ましこれぞゆとりというかワガママ世代？,jp,2,1,0,0
49,斎藤のせいで採用辞退 おお嘘！！！ これがアホ メディア これこそパワハラ,jp,2,2,0,0
50,偏向報道！辞退率何処の県も同じがそれ以上！,jp,2,0,1,0
51,まだやってんのかこれ。。。叩くなら石破とかもっと居るやろ,jp,2,1,0,0
52,"パワハラで辞退か分からんやろ
これだからメディアの印象操作って言われんねん",jp,2,1,0,0
53,今のこたちメンタルなさすぎ笑　ましこれぞゆとりというかワガママ世代？,jp,2,1,0,0
54,斎藤のせいで採用辞退 おお嘘！！！ これがアホ メディア これこそパワハラ,jp,2,2,0,0
55,偏向報道！辞退率何処の県も同じがそれ以上！,jp,2,0,1,0
56,まだやってんのかこれ。。。叩くなら石破とかもっと居るやろ,jp,2,1,0,0
57,"パワハラで辞退か分からんやろ
これだからメディアの印象操作って言われんねん",jp,2,1,0,0
